rank,ticker,compositeScore,accel,raw_accel,yoy_curr,yoy_prior,eps_growth,margin,margin_trend,marketCap,sic,runDate
1,SNDK,0.9983539094650206,2.273700797302392,2.273700797302392,3.3566252921501665,1.0829244948477745,61.24324324324324,0.7835294117647059,0.2741079241614002,309612737948.18,3572,2026-06-30
2,AMN,0.9917695473251029,0.9106645431559359,0.9106645431559359,0.9989775688763265,0.08831302572039057,54.00000000000001,0.26759027569700533,0.006803747580462871,1270631063.52,7363,2026-06-30
3,MU,0.9860082304526749,1.4942841648490108,1.4942841648490108,3.457155144608107,1.9628709797590962,13.684523809523812,0.8456194519490544,0.10148701272021954,1278845746671.8298,3674,2026-06-30
4,EQT,0.9703703703703703,0.47214062490001796,0.47214062490001796,0.941969710032474,0.469829085132456,4.8999999999999995,0.8815121986447003,0.043832330667575636,32962690600.0,1311,2026-06-30
5,HCC,0.9679012345679012,0.28821617933961097,0.28821617933961097,0.2908678331904593,0.0026516538508483123,42.000000000000924,0.2949545298290572,0.02390467727769363,4291743633.92,1220,2026-06-30
6,ARLO,0.9604938271604938,0.23664581577477573,0.23664581577477573,0.2630137906707204,0.026367974895944668,14.000000000000002,0.4832227261241372,0.019426608726032468,1360881007.01,7381,2026-06-30
7,WDC,0.9415637860082304,0.20227745923724716,0.20227745923724716,0.45466434176111603,0.25238688252386887,4.774647887323943,0.5022475277195085,0.04483950650638291,202138835724.95,3572,2026-06-30
8,TER,0.9407407407407407,0.43148104903797435,0.43148104903797435,0.8703972698634932,0.43891622082551884,3.1475409836065573,0.6089299443116303,0.03691034191643838,68387008891.32,3825,2026-06-30
9,NUE,0.9152263374485596,0.30935739065747825,0.30935739065747825,0.3420011305822499,0.03264373992477165,1.6475409836065573,0.15806655433866892,0.045929179550064786,54607724991.0,3312,2026-06-30
10,STRL,0.9127572016460905,0.4011845171730075,0.4011845171730075,0.9159459704048507,0.5147614532318432,1.4140624999999998,0.235317770309141,0.018119283782307816,24694828341.04,1600,2026-06-30
11,PLTR,0.905349794238683,0.14709251954172897,0.14709251954172897,0.8471163256416494,0.7000238060999204,3.25,0.8678180527421883,0.02133361498904318,270728441562.61002,7372,2026-06-30
12,DIOD,0.8930041152263375,0.10232879244579496,0.10232879244579496,0.22087060729330088,0.11854181484750592,4.2,0.3176386734308834,0.006257543745354588,4784684598.76,3674,2026-06-30
13,OMCL,0.8847736625514403,0.12596424392823824,0.12596424392823824,0.14911669163564079,0.023152447707402546,2.666666666666667,0.4529592100167807,0.0378902893074452,1825068618.17,3571,2026-06-30
14,LYFT,0.8847736625514402,0.11076138713545314,0.11076138713545314,0.13813326970869655,0.02737188257324341,3.0,0.47643153029193164,0.08660123465135405,5418069731.639999,7389,2026-06-30
15,BTSG,0.8790123456790122,0.09250673628125261,0.09250673628125261,0.25557992709847266,0.16307319081722005,3.7857142857142856,0.13344195636575154,0.017251904512996352,13537905259.76,8082,2026-06-30
16,RGLD,0.8773662551440329,0.5723228380527916,0.5723228380527916,1.4252207448458405,0.8528979067930489,0.9186046511627907,0.6712368771649347,0.02526793841084829,17648009885.899998,6795,2026-06-30
17,AMCR,0.8765432098765432,0.09310622515506717,0.09310622515506717,0.7743774377437744,0.6812712125887073,3.4117647058823524,0.2012174501183632,0.010540261643413679,19894735040.7,3990,2026-06-30
18,STX,0.8757201646090536,0.2256869772998804,0.2256869772998804,0.44074074074074066,0.21505376344086025,1.0828025477707006,0.46497429305912596,0.04869110721841802,203604279188.4,3572,2026-06-30
19,CGNX,0.8716049382716049,0.14392563327454266,0.14392563327454266,0.24255679608954073,0.09863116281499806,1.214285714285714,0.7112991130134817,0.05383174781283817,11076878658.56,3823,2026-06-30
20,LAUR,0.8699588477366256,0.19298245679792458,0.19298245679792458,0.27868604656655505,0.08570358976863046,0.8852459016393445,0.35812762750559674,0.14902972233249367,5195994087.679999,8200,2026-06-30
21,CIEN,0.8674897119341564,0.06425051882571142,0.06425051882571142,0.39512362795969014,0.3308731091339787,23.833333333333332,0.44027301798707486,0.0019397383779253263,67874626099.0,3661,2026-06-30
22,FIX,0.8666666666666667,0.14798292288302073,0.14798292288302073,0.5646556572812766,0.4166727343982559,1.2126315789473683,0.26328955946466237,0.00830168500796874,65239167130.41,1731,2026-06-30
23,DD,0.8592592592592594,0.12810387476134508,0.5124154990453803,0.04280397022332516,-0.46961152882205515,1.2785714285714287,0.3581201665675193,0.0049010289420025055,18527362205.22,2821,2026-06-30
24,MTX,0.8460905349794239,0.10933523253662725,0.10933523253662725,0.11203741358275732,0.00270218104613007,1.2594235033259424,0.2397147558968733,6.124290361053664e-05,2474496973.2,2810,2026-06-30
25,AEIS,0.8395061728395061,0.0848427366572706,0.0848427366572706,0.26297577854671284,0.17813304188944223,1.4307692307692308,0.39315068493150684,0.0067591851358386745,13928109808.27,3679,2026-06-30
